year,season,researcher,lakename,lakeregloc,lakecountry,lakearea,lakemeandepth,lakemaxdepth,lakeelevation,watershedarea,h2oresidence,lakefetch,stationdistance,stationdepth,stationname,poolstation,stationlat,stationlong,multiplestations,startday,startmonth,startyear,endday,endmonth,endyear,iceduration,periodn,samplenarrat,sampletype,photicdepth,sampledepth,icedepth,snowdepth,icenarrat,sidata,fadata,gutdata,foodwebnarrat,watertemp,airtemp,averadiation,cvradiation,avesecchidepth,cvsecchidepth,avetotphos,cvtotphos,maxtotphos,avetotdissphos,cvtotdissphos,maxtotdissphos,avetotnitro,cvtotnitro,maxtotnitro,avetotdissnitro,cvtotdissnitro,maxtotdissnitro,avetotdoc,cvtotdoc,maxtotdoc,avesuva,cvsuva,maxsuva,avecolor,cvcolor,maxcolor,avechla,cvchla,maxchla,waterchemnarrat,profiles,avephytoppr,maxphytoppr,phytopprunit,phytopprnarrat,phytomethod,avephytomass,cvphytomass,maxphytomass,avephytocount,cvphytocount,maxphytocount,propchloro,propcrypto,propcyano,propdiatom,propdino,propotherphyto,aveciliamass,cvciliamass,maxciliamass,aveciliacount,cvciliacount,maxciliacount,avehnfmass,cvhnfmass,maxhnfmass,avehnfcount,cvhnfcount,maxhnfcount,zoopmethod,avezoopmass,cvzoopmass,maxzoopmass,avezoopcount,cvzoopcount,maxzoopcount,propdaphnia,propothercladoc,propcyclopoid,propcalanoid,proprotifer,propotherzoop,avebactcount,cvbactcount,maxbactcount,avebactprod,cvbactprod,maxbactprod,bactprodunit,bactprodmethod,bactcompnarrat,bensubstrate,avebenalgalmass,cvbenalgalmass,maxbenalgalmass,avebenchla,cvbenchla,maxbenchla,macrophytemass,benamphdens,bengastrodens,benbivalvedens,beninsectdens,benoligodens,fishnarrat
1987,iceon,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,13,Nov,1986,10,Apr,1987,148,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,5,NA,47,7.3,NA,NA,no,no,NA,1.95,-4.43,NA,NA,3.46,0.34,20,0.955,34,12,1.473,25,406,0.307,494,385,0.41,497,4,0.069,4.2,NA,NA,NA,NA,NA,NA,0.4,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,0,54.5,0.256880734,0,0.055045872,0.036697248,0.431192661,0.220183486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,iceoff,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,18,May,1987,10,Sep,1987,NA,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,6,NA,NA,NA,NA,NA,no,no,NA,19.46,17.42,NA,NA,3.08,0.37,20,0.781,58,9,1.134,34,362,0.269,530,230,0.169,276,4.09,0.115,4.84,NA,NA,NA,NA,NA,NA,11.1,2.2,152.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1269.05,0.445958683,1810.9,0.019699775,0.000827391,0.010243883,0.006067531,0.919506718,0.043654702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,iceon,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,20,Nov,1987,12,Apr,1988,144,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,1,NA,46.8,10.8,NA,NA,no,no,NA,0.7,-8.87,NA,NA,3.2,0.19,8,0.265,10,8,0.707,12,385,0.323,473,442,0.179,498,2.89,0.294,3.49,NA,NA,NA,NA,NA,NA,0.6,0.9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.8,0,69.8,0.127507163,0.007163324,0.03008596,0.03008596,0.691977077,0.113180516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,iceoff,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,9,May,1988,18,Aug,1988,NA,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,7,NA,NA,NA,NA,NA,no,no,NA,17.51,18.88,NA,NA,4.02,0.26,19,1.314,89,5,0.735,12,346,0.271,562,297,0.234,414,3.69,0.097,4.14,NA,NA,NA,NA,NA,NA,7.3,1.3,52.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,880.85,0.004327979,884.5,0.017199296,0.005846625,0.011352671,0.007606289,0.899358574,0.058636544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,iceon,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,29,Nov,1988,25,Apr,1989,147,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,2,NA,51.1,25.3,NA,NA,no,no,NA,1.05,-7.6,NA,NA,3.7,0.22,11,0.45,15,9,1.179,17,903,0.053,937,879,0.047,908,2.77,0.01,2.79,NA,NA,NA,NA,NA,NA,0.2,1.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,0,36.7,0.084468665,0,0.100817439,0.084468665,0.457765668,0.272479564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,iceoff,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,16,May,1989,19,Sep,1989,NA,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,7,NA,NA,NA,NA,NA,no,no,NA,17.63,16.55,741.028,0.760285408,3.13,0.34,21,0.946,87,8,0.771,23,309,0.223,521,279,0.187,379,4.19,0.104,4.77,NA,NA,NA,NA,NA,NA,10.9,1.2,69.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641.15,0.421679806,900,0.000389924,0.001637682,0.023785386,0.009592139,0.831474694,0.133120175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,iceon,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,21,Nov,1989,17,Apr,1990,147,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,4,NA,45.6,15.3,NA,NA,no,no,NA,NA,-5.66,491.965,0.849710791,3.43,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.9,0,154.9,0.118786314,0,0.125242092,0.013557134,0.152356359,0.590058102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,iceoff,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,30,Apr,1990,4,Sep,1990,NA,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,7,NA,NA,NA,NA,NA,no,no,NA,18.4,14.51,699.757,0.82260402,3.38,0.39,20,1.179,93,8,1.038,33,299,0.296,461,249,0.291,427,4.05,0.079,4.55,1.65,0.33,2.04,NA,NA,NA,8.3,2,91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555.4,0.416240201,835.8,0.014344016,0.001260353,0.046332973,0.01614452,0.78982115,0.132096987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,iceon,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,2,Dec,1990,18,Apr,1991,137,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,5,NA,43.3,10.5,NA,NA,no,no,NA,0.57,-6.47,443.928,0.851273228,3.46,0.12,10,0.32,13,14,1.239,40,355,0.458,530,351,0.438,503,3.71,0.095,4.01,2.59,NA,2.59,NA,NA,NA,2.1,1.5,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.5,0,132.5,0.071698113,0,0.020377358,0.012075472,0.626415094,0.269433962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,iceoff,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,21,May,1991,10,Sep,1991,NA,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,7,NA,NA,NA,NA,NA,no,no,NA,19.61,18.12,689.433,0.800065672,3.24,0.3,30,2.123,222,4,0.949,15,295,0.556,755,211,0.298,318,4.62,0.073,5.12,NA,NA,NA,NA,NA,NA,22.5,2,271.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941.55,0.851779692,1709.4,0.015612554,0.000849663,0.02394987,0.009505602,0.85831873,0.091763581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,iceon,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,7,Nov,1991,28,Apr,1992,173,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,2,NA,39,10.7,NA,NA,no,no,NA,0.3,-4.8,447.974,0.873127735,2.9,0.15,9,0.111,10,4,0.25,5,244,0.342,341,219,0.489,343,2.81,0.134,3.03,5.3,NA,5.3,NA,NA,NA,0.7,2.1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.8,0,105.8,0,0,0.184310019,0,0.765595463,0.050094518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,iceoff,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,18,May,1992,26,Aug,1992,NA,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,6,NA,NA,NA,NA,NA,no,no,NA,17.77,15.14,602.108,0.778538507,2.87,0.19,15,0.203,19,6,0.192,8,287,0.131,341,201,0.156,239,3.95,0.058,4.22,2.12,NA,2.12,NA,NA,NA,8.4,0.5,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.7,0.187017026,356.9,0.015857284,0.006937562,0.027254708,0.023455567,0.789395441,0.137099438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,iceon,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,15,Nov,1992,1,May,1993,167,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,3,NA,47.6,11.6,NA,NA,no,no,NA,0.1,-5.75,443.769,0.846799129,2.83,0.1,7,NA,7,4,NA,4,228,NA,228,212,NA,212,2.86,NA,2.86,2.64,NA,2.64,NA,NA,NA,1.1,0.8,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6,0,66.6,0.046546547,0,0.007507508,0.024024024,0.81981982,0.102102102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,iceoff,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,17,May,1993,9,Sep,1993,NA,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,6,NA,NA,NA,NA,NA,no,no,NA,16.35,15.86,479.122,0.834135658,3.45,0.26,19,0.721,48,6,0.816,15,263,0.207,373,196,0.226,306,4.01,0.123,5.06,2.29,NA,2.29,NA,NA,NA,11.4,1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.45,0.526590096,694.1,0.019937155,0.000541771,0.020587279,0.02112905,0.842778199,0.095026547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,iceon,Emily.Stanley,Allequash Lake,Wisconsin,USA,1.642,2.9,8,500,21.5102,NA,NA,NA,NA,NA,NA,46.038,-89.621,no,27,Nov,1993,19,Apr,1994,143,NA,Dissolved nitrogen sometimes greater than total nitrogen.,in situ,5,NA,38.6,12.1,NA,NA,no,no,NA,1.2,-8.66,500.612,0.881200649,2.83,0.43,8,0.265,10,1,2.121,3,318,0.285,382,244,0.293,295,2.79,0.388,3.56,2.76,NA,2.76,NA,NA,NA,6.9,1.2,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.6,0,144.6,0,0.003457815,0.014522822,0.011065007,0.930843707,0.04011065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
