lakeid,year4,sampledate,depth_range_m,rep,tri_chl_spec,mono_chl_spec,phaeo_spec,uncorrect_chl_fluor,correct_chl_fluor,phaeo_fluor,flag_spec,flag_fluor
ME,1995,8/2/1995,0-8,1,1.3,,,,,,FG,
MO,1995,8/2/1995,0-2,1,1,,,,,,FG,
ME,1995,8/14/1995,0-8,1,2.7,,,,,,FG,
MO,1995,8/14/1995,0-2,1,2.8,,,,,,FG,
ME,1995,8/30/1995,0-8,1,2.6,,,,,,FG,
MO,1995,8/30/1995,0-2,1,8.7,,,,,,FG,
ME,1995,9/11/1995,0-2,1,2.2,,,,,,FG,
ME,1995,9/11/1995,0-8,1,1.8,,,,,,FG,
MO,1995,9/11/1995,0-2,1,15.8,,,,,,FG,
ME,1995,9/25/1995,0-2,1,0.4,,,,,,FG,
ME,1995,9/25/1995,0-8,1,0.8,,,,,,FG,
MO,1995,9/25/1995,0-2,1,1.6,,,,,,FG,
ME,1995,10/11/1995,0-2,1,2.6,,,,,,FG,
ME,1995,10/11/1995,0-8,1,3.2,,,,,,FG,
MO,1995,10/11/1995,0-2,1,2.5,,,,,,FG,
ME,1995,10/25/1995,0-2,1,3.6,,,,,,FG,
ME,1995,10/25/1995,0-8,1,6.9,,,,,,FG,
MO,1995,10/25/1995,0-2,1,1.6,,,,,,FG,
ME,1995,11/10/1995,0-2,1,6.3,,,,,,FG,
ME,1995,11/10/1995,0-8,1,16.4,,,,,,FG,
MO,1995,11/22/1995,0-2,1,4.2,,,,,,FG,
ME,1995,12/6/1995,0-2,1,17.1,,,,,,FG,
ME,1995,12/6/1995,0-8,1,16.3,,,,,,FG,
MO,1996,1/14/1996,0-2,1,16.3,,,,,,FG,
MO,1996,1/14/1996,0-8,1,14.5,,,,,,FG,
ME,1996,2/6/1996,0-2,1,1.1,,,,,,F,
ME,1996,2/6/1996,0-8,1,1.9,,,,,,F,
FI,1996,2/8/1996,1,1,0.5,,,,,,F,
FI,1996,2/8/1996,8,1,0.5,,,,,,FG,
FI,1996,2/8/1996,8,2,0.3,,,,,,F,
FI,1996,2/8/1996,12,1,0.4,,,,,,FG,
FI,1996,2/8/1996,12,2,0.4,,,,,,F,
FI,1996,2/8/1996,18,1,0.6,,,,,,FG,
MO,1996,2/17/1996,0-2,1,8,,,,,,G,
MO,1996,2/17/1996,0-8,1,4.4,,,,,,G,
MO,1996,4/3/1996,0-2,1,30.8,,,,,,F,
MO,1996,4/3/1996,0-8,1,31.7,,,,,,F,
ME,1996,4/9/1996,0-2,1,45.1,,,,,,F,
ME,1996,4/9/1996,0-8,1,45.3,,,,,,F,
MO,1996,4/16/1996,0-2,1,15.3,,,,,,F,
MO,1996,4/16/1996,0-8,1,15.3,,,,,,F,
ME,1996,4/17/1996,0-2,1,26.7,,,,,,F,
ME,1996,4/17/1996,0-8,1,23.4,,,,,,F,
ME,1996,5/1/1996,0-2,1,3.7,,,,,,F,
ME,1996,5/1/1996,0-8,1,3.5,,,,,,F,
MO,1996,5/1/1996,0-2,1,2.6,,,,,,F,
MO,1996,5/1/1996,0-8,1,2.6,,,,,,F,
ME,1996,5/14/1996,0-2,1,1,,,,,,F,
ME,1996,5/14/1996,0-8,1,0.8,,,,,,F,
MO,1996,5/14/1996,0-2,1,1.5,,,,,,F,
MO,1996,5/14/1996,0-8,1,1.9,,,,,,F,
ME,1996,5/28/1996,0-2,1,2.1,,,,,,F,
ME,1996,5/28/1996,0-8,1,2.3,,,,,,F,
MO,1996,5/29/1996,0-2,1,6.4,,,,,,F,
MO,1996,5/29/1996,0-8,1,7.4,,,,,,F,
ME,1996,6/10/1996,0-2,1,4.2,,,,,,F,
ME,1996,6/10/1996,0-8,1,3.4,,,,,,F,
MO,1996,6/10/1996,0-2,1,3,,,,,,F,
MO,1996,6/10/1996,0-8,1,2.3,,,,,,F,
ME,1996,6/26/1996,0-2,1,1.9,,,,,,F,
ME,1996,6/26/1996,0-8,1,2,,,,,,F,
MO,1996,6/26/1996,0-2,1,5,,,,,,F,
MO,1996,6/26/1996,0-8,1,4.4,,,,,,F,
ME,1996,7/8/1996,0-2,1,19.9,,,,,,F,
ME,1996,7/8/1996,0-8,1,22.2,,,,,,F,
MO,1996,7/9/1996,0-2,1,16.4,,,,,,F,
MO,1996,7/9/1996,0-2,2,26.3,,,,,,F,
MO,1996,7/9/1996,0-8,1,19,,,,,,F,
MO,1996,7/9/1996,0-8,2,24.6,,,,,,F,
ME,1996,7/22/1996,0-2,1,46.5,,,,,,F,
ME,1996,7/22/1996,0-8,1,56.8,,,,,,F,
MO,1996,7/22/1996,0-2,1,26.5,,,,,,F,
MO,1996,7/22/1996,0-8,1,30,,,,,,F,
ME,1996,8/5/1996,0-2,1,25.7,,,,,,F,
ME,1996,8/5/1996,0-8,1,23.9,,,,,,F,
MO,1996,8/5/1996,0-2,1,19.6,,,,,,F,
MO,1996,8/5/1996,0-8,1,14.8,,,,,,F,
ME,1996,8/19/1996,0-2,1,14.9,,,,,,F,
ME,1996,8/19/1996,0-8,1,15.5,,,,,,F,
MO,1996,8/19/1996,0-8,1,10.9,,,,,,F,
ME,1996,9/5/1996,0-2,1,3,,,,,,F,
ME,1996,9/5/1996,0-8,1,7.5,,,,,,F,
MO,1996,9/5/1996,0-2,1,5.5,,,,,,F,
MO,1996,9/5/1996,0-8,1,8.4,,,,,,F,
ME,1996,9/16/1996,0-2,1,9.9,,,,,,F,
ME,1996,9/16/1996,0-8,1,10,,,,,,F,
MO,1996,9/19/1996,0-2,1,15.1,,,,,,F,
MO,1996,9/19/1996,0-8,1,10.8,,,,,,F,
ME,1996,10/16/1996,0-2,1,11.9,,,,,,F,
ME,1996,10/16/1996,0-8,1,7.4,,,,,,F,
MO,1996,10/16/1996,0-2,1,22.6,,,,,,F,
MO,1996,10/16/1996,0-8,1,18.8,,,,,,F,
ME,1996,11/8/1996,0-2,1,5.2,,,,,,FG,
ME,1996,11/8/1996,0-8,1,2.1,,,,,,FG,
ME,1996,11/25/1996,0-2,1,13.7,,,,,,F,
ME,1996,11/25/1996,0-8,1,13.3,,,,,,F,
MO,1996,11/25/1996,0-2,1,9.3,,,,,,F,
MO,1996,11/25/1996,0-8,1,10.8,,,,,,F,
ME,1996,12/6/1996,0-2,1,5.2,,,,,,F,
ME,1996,12/6/1996,0-8,1,5.4,,,,,,F,
ME,1997,1/14/1997,0-2,1,19.8,,,,,,F,
ME,1997,1/14/1997,0-8,1,15,,,,,,F,
MO,1997,1/14/1997,0-2,1,16.3,,,,,,F,
MO,1997,1/14/1997,0-8,1,14.5,,,,,,F,
ME,1997,2/17/1997,0-2,1,6.3,,,,,,F,
ME,1997,2/17/1997,0-8,1,4.4,,,,,,F,
MO,1997,2/17/1997,0-2,1,8,,,,,,F,
MO,1997,2/17/1997,0-8,1,4.4,,,,,,F,
ME,1997,4/9/1997,0-2,1,30.1,,,,,,F,
ME,1997,4/9/1997,0-8,1,30.3,,,,,,F,
MO,1997,4/9/1997,0-8,1,3.2,,,,,,F,
MO,1997,5/1/1997,0-2,1,10.1,,,,,,F,
MO,1997,5/1/1997,0-8,1,9.5,,,,,,F,
ME,1997,5/2/1997,0-2,1,8.1,,,,,,F,
ME,1997,5/2/1997,0-8,1,8.3,,,,,,F,
MO,1997,5/13/1997,0-2,1,1.5,,,,,,F,
FI,1997,5/27/1997,4,1,2.6,,,,,,F,
FI,1997,5/27/1997,4,2,2.8,,,,,,F,
FI,1997,5/27/1997,4,3,3.1,,,,,,F,
FI,1997,5/27/1997,6,1,3.2,,,,,,F,
FI,1997,5/27/1997,0-2,1,3.4,,,,,,F,
FI,1997,5/27/1997,0-2,2,3.7,,,,,,F,
WI,1997,5/27/1997,0-2,1,27.4,,,,,,F,
WI,1997,5/27/1997,0-2,2,33.2,,,,,,F,
ME,1997,5/28/1997,0,1,1,,,,,,F,
ME,1997,5/28/1997,0,2,1.2,,,,,,F,
ME,1997,5/28/1997,0,3,1.2,,,,,,F,
ME,1997,5/28/1997,4,1,0.7,,,,,,F,
ME,1997,5/28/1997,4,2,0.6,,,,,,F,
ME,1997,5/28/1997,4,3,1.3,,,,,,F,
ME,1997,5/28/1997,0-2,1,1.5,,,,,,F,
ME,1997,5/28/1997,0-2,2,1.6,,,,,,F,
ME,1997,5/28/1997,0-2,3,1.8,,,,,,F,
ME,1997,5/28/1997,0-8,1,1.5,,,,,,F,
ME,1997,5/28/1997,0-8,2,1.8,,,,,,F,
ME,1997,5/28/1997,0-8,3,1.7,,,,,,F,
MO,1997,5/28/1997,0,1,2.9,,,,,,F,
MO,1997,5/28/1997,0,2,3.1,,,,,,F,
MO,1997,5/28/1997,0,3,3.9,,,,,,F,
MO,1997,5/28/1997,4,1,3.3,,,,,,F,
MO,1997,5/28/1997,4,2,4.1,,,,,,F,
MO,1997,5/28/1997,4,3,4.5,,,,,,F,
MO,1997,5/28/1997,0-2,1,6.7,,,,,,F,
MO,1997,5/28/1997,0-2,2,7.2,,,,,,F,
MO,1997,5/28/1997,0-2,3,7.7,,,,,,F,
MO,1997,5/28/1997,0-8,1,5.8,,,,,,F,
MO,1997,5/28/1997,0-8,2,6.4,,,,,,F,
MO,1997,5/28/1997,0-8,3,6.4,,,,,,F,
FI,1997,6/10/1997,0,1,1.5,,,,,,F,
FI,1997,6/10/1997,0,2,1.8,,,,,,F,
FI,1997,6/10/1997,0,3,1.5,,,,,,F,
FI,1997,6/10/1997,4,1,2.9,,,,,,F,
FI,1997,6/10/1997,4,2,2.9,,,,,,F,
FI,1997,6/10/1997,4,3,2.9,,,,,,F,
FI,1997,6/10/1997,8,1,2.4,,,,,,F,
FI,1997,6/10/1997,8,2,2.4,,,,,,F,
FI,1997,6/10/1997,8,3,2.6,,,,,,F,
FI,1997,6/10/1997,0-2,1,1.6,,,,,,F,
FI,1997,6/10/1997,0-2,2,1.5,,,,,,F,
FI,1997,6/10/1997,0-2,3,1.9,,,,,,F,
ME,1997,6/11/1997,0,1,8.7,,,,,,F,
ME,1997,6/11/1997,0,2,8.6,,,,,,F,
ME,1997,6/11/1997,0,3,9,,,,,,F,
ME,1997,6/11/1997,4,1,12,,,,,,F,
ME,1997,6/11/1997,4,2,12.9,,,,,,F,
ME,1997,6/11/1997,4,3,12.3,,,,,,F,
ME,1997,6/11/1997,8,1,4.2,,,,,,F,
ME,1997,6/11/1997,8,2,4.8,,,,,,F,
ME,1997,6/11/1997,8,3,4.9,,,,,,F,
ME,1997,6/11/1997,12,1,0.8,,,,,,F,
ME,1997,6/11/1997,12,2,1.1,,,,,,F,
ME,1997,6/11/1997,12,3,1.4,,,,,,F,
ME,1997,6/11/1997,0-2,1,8.3,,,,,,F,
ME,1997,6/11/1997,0-2,2,8.6,,,,,,F,
ME,1997,6/11/1997,0-2,3,8.2,,,,,,F,
ME,1997,6/11/1997,0-8,1,7.7,,,,,,F,
ME,1997,6/11/1997,0-8,2,7.9,,,,,,F,
ME,1997,6/11/1997,0-8,3,8.2,,,,,,F,
MO,1997,6/11/1997,0,1,8.7,,,,,,F,
MO,1997,6/11/1997,0,2,9.3,,,,,,F,
MO,1997,6/11/1997,0,3,10,,,,,,F,
MO,1997,6/11/1997,4,1,12,,,,,,F,
MO,1997,6/11/1997,4,2,12.3,,,,,,F,
MO,1997,6/11/1997,4,3,13.1,,,,,,F,
MO,1997,6/11/1997,8,1,4.6,,,,,,F,
MO,1997,6/11/1997,8,2,4.8,,,,,,F,
MO,1997,6/11/1997,8,3,5,,,,,,F,
MO,1997,6/11/1997,12,1,1.6,,,,,,F,
MO,1997,6/11/1997,12,2,1.7,,,,,,F,
MO,1997,6/11/1997,12,3,1.9,,,,,,F,
MO,1997,6/11/1997,0-2,1,9.3,,,,,,F,
MO,1997,6/11/1997,0-2,2,9.5,,,,,,F,
MO,1997,6/11/1997,0-2,3,10,,,,,,F,
MO,1997,6/11/1997,0-8,1,8.3,,,,,,F,
MO,1997,6/11/1997,0-8,2,8.6,,,,,,F,
MO,1997,6/11/1997,0-8,3,8.8,,,,,,F,
WI,1997,6/12/1997,0,1,5.6,,,,,,F,
WI,1997,6/12/1997,0,2,5.8,,,,,,F,
WI,1997,6/12/1997,0,3,6.1,,,,,,F,
WI,1997,6/12/1997,0-2,1,5.3,,,,,,F,
WI,1997,6/12/1997,0-2,2,6,,,,,,F,
WI,1997,6/12/1997,0-2,3,5.8,,,,,,F,
FI,1997,6/24/1997,0,1,1.7,,,,,,F,
FI,1997,6/24/1997,0,2,1.6,,,,,,F,
FI,1997,6/24/1997,0,3,1.6,,,,,,F,
FI,1997,6/24/1997,4,1,3.3,,,,,,F,
FI,1997,6/24/1997,4,2,3.7,,,,,,F,
FI,1997,6/24/1997,4,3,3.3,,,,,,F,
FI,1997,6/24/1997,8,1,4.3,,,,,,F,
FI,1997,6/24/1997,8,2,4.9,,,,,,F,
FI,1997,6/24/1997,8,3,5.2,,,,,,F,
FI,1997,6/24/1997,12,1,3.2,,,,,,F,
FI,1997,6/24/1997,12,2,4.2,,,,,,F,
FI,1997,6/24/1997,12,3,4.5,,,,,,F,
FI,1997,6/24/1997,0-2,1,1.9,,,,,,F,
FI,1997,6/24/1997,0-2,2,1.8,,,,,,F,
FI,1997,6/24/1997,0-2,3,1.7,,,,,,F,
WI,1997,6/24/1997,0,1,11.7,,,,,,F,
WI,1997,6/24/1997,0,2,11,,,,,,F,
WI,1997,6/24/1997,0,3,15.3,,,,,,F,
WI,1997,6/24/1997,0-2,1,11.7,,,,,,F,
WI,1997,6/24/1997,0-2,2,12.7,,,,,,F,
WI,1997,6/24/1997,0-2,3,13,,,,,,F,
ME,1997,6/25/1997,0,1,4.8,,,,,,F,
ME,1997,6/25/1997,0,2,4.8,,,,,,F,
ME,1997,6/25/1997,0,3,4.9,,,,,,F,
ME,1997,6/25/1997,4,1,3.8,,,,,,F,
ME,1997,6/25/1997,4,2,4.7,,,,,,F,
ME,1997,6/25/1997,4,3,4.6,,,,,,F,
ME,1997,6/25/1997,8,1,3.2,,,,,,F,
ME,1997,6/25/1997,8,2,3.7,,,,,,F,
ME,1997,6/25/1997,8,3,3.6,,,,,,F,
ME,1997,6/25/1997,12,1,1.8,,,,,,F,
ME,1997,6/25/1997,12,2,2.2,,,,,,F,
ME,1997,6/25/1997,12,3,2,,,,,,F,
ME,1997,6/25/1997,0-2,1,4.8,,,,,,F,
ME,1997,6/25/1997,0-2,2,4.4,,,,,,F,
ME,1997,6/25/1997,0-2,3,4.5,,,,,,F,
ME,1997,6/25/1997,0-8,1,4.1,,,,,,F,
ME,1997,6/25/1997,0-8,2,3.5,,,,,,F,
ME,1997,6/25/1997,0-8,3,3.6,,,,,,F,
MO,1997,6/25/1997,0,1,9.6,,,,,,F,
MO,1997,6/25/1997,0,2,12.7,,,,,,F,
MO,1997,6/25/1997,0,3,13.4,,,,,,F,
MO,1997,6/25/1997,4,1,6.4,,,,,,F,
MO,1997,6/25/1997,4,2,7.3,,,,,,F,
MO,1997,6/25/1997,4,3,7.6,,,,,,F,
MO,1997,6/25/1997,8,1,4.9,,,,,,F,
MO,1997,6/25/1997,8,2,4.9,,,,,,F,
MO,1997,6/25/1997,8,3,4.8,,,,,,F,
MO,1997,6/25/1997,12,1,1.2,,,,,,F,
MO,1997,6/25/1997,12,2,1.1,,,,,,F,
MO,1997,6/25/1997,12,3,1.3,,,,,,F,
MO,1997,6/25/1997,0-2,1,10.6,,,,,,F,
MO,1997,6/25/1997,0-2,2,12.8,,,,,,F,
MO,1997,6/25/1997,0-2,3,14.9,,,,,,F,
MO,1997,6/25/1997,0-8,1,6.6,,,,,,F,
MO,1997,6/25/1997,0-8,2,6.5,,,,,,F,
MO,1997,6/25/1997,0-8,3,6.6,,,,,,F,
FI,1997,7/8/1997,0,1,3.7,,,,,,F,
FI,1997,7/8/1997,0,2,4.3,,,,,,F,
FI,1997,7/8/1997,4,1,4.8,,,,,,F,
FI,1997,7/8/1997,8,1,9.3,,,,,,F,
FI,1997,7/8/1997,8,2,9.4,,,,,,F,
FI,1997,7/8/1997,8,3,9.3,,,,,,F,
FI,1997,7/8/1997,12,1,3.4,,,,,,F,
FI,1997,7/8/1997,12,2,3.5,,,,,,F,
FI,1997,7/8/1997,0-2,1,4.3,,,,,,F,
FI,1997,7/8/1997,0-2,2,4.2,,,,,,F,
FI,1997,7/8/1997,0-2,3,4.2,,,,,,F,
WI,1997,7/8/1997,0,1,25.5,,,,,,F,
WI,1997,7/8/1997,0,2,27.1,,,,,,F,
WI,1997,7/8/1997,0,3,27.6,,,,,,F,
WI,1997,7/8/1997,0-2,1,25.7,,,,,,F,
WI,1997,7/8/1997,0-2,2,30.2,,,,,,F,
ME,1997,7/9/1997,0,1,6.1,,,,,,F,
ME,1997,7/9/1997,0,2,6.4,,,,,,F,
ME,1997,7/9/1997,0,3,6.5,,,,,,F,
ME,1997,7/9/1997,4,1,6.3,,,,,,F,
ME,1997,7/9/1997,4,2,6.2,,,,,,F,
ME,1997,7/9/1997,4,3,6.3,,,,,,F,
ME,1997,7/9/1997,8,1,5.9,,,,,,F,
ME,1997,7/9/1997,8,2,6.1,,,,,,F,
ME,1997,7/9/1997,8,3,6.2,,,,,,F,
ME,1997,7/9/1997,12,1,3.1,,,,,,F,
ME,1997,7/9/1997,12,2,3.5,,,,,,F,
ME,1997,7/9/1997,12,3,3.6,,,,,,F,
ME,1997,7/9/1997,0-2,1,5.3,,,,,,F,
ME,1997,7/9/1997,0-2,2,5.9,,,,,,F,
ME,1997,7/9/1997,0-2,3,6.3,,,,,,F,
ME,1997,7/9/1997,0-8,1,5.6,,,,,,F,
ME,1997,7/9/1997,0-8,2,6,,,,,,F,
MO,1997,7/9/1997,0,1,4.3,,,,,,F,
MO,1997,7/9/1997,0,2,20.1,,,,,,F,
MO,1997,7/9/1997,0,3,20.4,,,,,,F,
MO,1997,7/9/1997,0,4,24.8,,,,,,F,
MO,1997,7/9/1997,4,1,5,,,,,,F,
MO,1997,7/9/1997,4,2,18.7,,,,,,F,
MO,1997,7/9/1997,4,3,18.9,,,,,,F,
MO,1997,7/9/1997,4,4,19.5,,,,,,F,
MO,1997,7/9/1997,8,1,15.6,,,,,,F,
MO,1997,7/9/1997,8,2,15.7,,,,,,F,
MO,1997,7/9/1997,8,3,16.1,,,,,,F,
MO,1997,7/9/1997,12,1,3.6,,,,,,F,
MO,1997,7/9/1997,12,2,3.5,,,,,,F,
MO,1997,7/9/1997,12,3,3.4,,,,,,F,
MO,1997,7/9/1997,0-2,1,19.5,,,,,,F,
MO,1997,7/9/1997,0-2,2,19.8,,,,,,F,
MO,1997,7/9/1997,0-2,3,20.3,,,,,,F,
MO,1997,7/9/1997,0-8,1,18.4,,,,,,F,
MO,1997,7/9/1997,0-8,2,19.1,,,,,,F,
MO,1997,7/9/1997,0-8,3,18.7,,,,,,F,
ME,1997,8/6/1997,0-2,1,3.9,,,,,,F,
MO,1997,8/7/1997,0-8,1,4.3,,,,,,F,
ME,1997,9/2/1997,0-2,1,10.7,,,,,,F,
MO,1997,9/8/1997,0-8,1,20.2,,,,,,F,
FI,1997,10/2/1997,0,1,8.4,,,,,,F,
FI,1997,10/2/1997,4,1,9.2,,,,,,F,
FI,1997,10/2/1997,8,1,9,,,,,,F,
FI,1997,10/2/1997,12,1,4.2,,,,,,F,
FI,1997,10/2/1997,0-2,1,3.7,,,,,,F,
FI,1997,10/28/1997,0,1,4.2,,,,,,F,
FI,1997,10/28/1997,4,1,5,,,,,,F,
FI,1997,10/28/1997,8,1,3.7,,,,,,F,
FI,1997,10/28/1997,12,1,4.8,,,,,,F,
WI,1997,10/28/1997,0,1,12.7,,,,,,F,
MO,1997,11/25/1997,0-2,1,3.3,,,,,,FG,
MO,1997,11/25/1997,0-8,1,42.9,,,,,,FG,
ME,1997,11/30/1997,0-2,1,6.9,,,,,,F,
ME,1997,11/30/1997,0-8,1,5.6,,,,,,F,
ME,1998,3/13/1998,0-2,1,40.7,,,,,,F,
ME,1998,3/13/1998,0-8,1,30.9,,,,,,F,
MO,1998,3/17/1998,0-2,1,35.6,,,,,,F,
ME,1998,3/26/1998,0-2,1,8.1,,,,,,F,
ME,1998,3/26/1998,0-8,1,10.6,,,,,,F,
ME,1998,4/10/1998,0-2,1,14.3,,,,,,F,
ME,1998,4/10/1998,0-8,1,13.8,,,,,,F,
MO,1998,4/13/1998,0-2,1,16.3,,,,,,F,
MO,1998,4/13/1998,0-8,1,12.6,,,,,,F,
ME,1998,4/24/1998,0-2,1,74.8,,,,,,F,
ME,1998,4/24/1998,0-8,1,53.7,,,,,,F,
MO,1998,4/27/1998,0-2,1,0.7,,,,,,F,
MO,1998,4/27/1998,0-8,1,1.3,,,,,,F,
ME,1998,5/11/1998,0-2,1,0.8,,,,,,F,
ME,1998,5/11/1998,0-8,1,0.6,,,,,,F,
MO,1998,5/11/1998,0-2,1,2.2,,,,,,F,
MO,1998,5/11/1998,0-8,1,2.7,,,,,,F,
ME,1998,5/28/1998,0-2,1,7.4,,,,,,F,
MO,1998,6/1/1998,0-2,1,9.2,,,,,,F,
MO,1998,6/1/1998,0-2,2,6.9,,,,,,F,
MO,1998,6/1/1998,0-8,1,5.7,,,,,,F,
ME,1998,6/8/1998,0-8,1,2.9,,,,,,F,
MO,1998,6/8/1998,0-8,1,6.7,,,,,,F,
ME,1998,6/22/1998,0-2,1,19.5,,,,,,F,
ME,1998,6/22/1998,0-8,1,9,,,,,,F,
ME,1998,6/22/1998,0-8,2,8.7,,,,,,F,
MO,1998,6/22/1998,0-2,1,16.2,,,,,,F,
MO,1998,6/22/1998,0-2,2,17.4,,,,,,F,
MO,1998,6/22/1998,0-8,1,17.6,,,,,,F,
FI,1998,6/24/1998,0-2,1,9,,,,,,F,
WI,1998,6/24/1998,0-2,1,13.8,,,,,,F,
WI,1998,6/24/1998,0-2,2,16.1,,,,,,F,
ME,1998,7/6/1998,0-2,1,0.2,,,,,,F,
ME,1998,7/6/1998,0-8,1,22.4,,,,,,F,
MO,1998,7/6/1998,0-2,1,123.2,,,,,,F,
MO,1998,7/6/1998,0-8,1,93.7,,,,,,F,
FI,1998,7/7/1998,0-2,1,5.8,,,,,,F,
WI,1998,7/7/1998,0-2,1,26.9,,,,,,F,
FI,1998,7/22/1998,0-2,1,8,,,,,,F,
ME,1998,7/23/1998,0-2,1,18.7,,,,,,F,
ME,1998,7/23/1998,0-2,2,22.4,,,,,,F,
MO,1998,7/23/1998,0-2,1,15,,,,,,F,
MO,1998,7/23/1998,0-8,1,15.8,,,,,,F,
WI,1998,7/24/1998,0-2,1,20.1,,,,,,F,
ME,1998,8/2/1998,0-2,1,11.1,10.9,-0.3,,,,H,
ME,1998,8/2/1998,0-8,1,14,12.7,1.4,,,,H,
MO,1998,8/2/1998,0-2,1,11.7,11.2,0.1,,,,H,
WI,1998,8/7/1998,0-2,1,37.6,35.4,1.5,,,,H,
ME,1998,8/18/1998,0-8,1,13,12.9,-0.8,,,,H,
MO,1998,8/18/1998,0-8,1,11.9,11.6,-0.1,,,,H,
FI,1998,8/19/1998,0-2,1,16.2,16.2,-1.1,,,,H,
WI,1998,8/19/1998,0-2,1,18.3,16.3,2.5,,,,H,
FI,1998,9/1/1998,0-2,1,8.3,7.3,1.3,,,,H,
ME,1998,9/2/1998,0-2,1,4.9,4.3,0.9,,,,F,
MO,1998,9/2/1998,0-2,1,5.9,5.6,0.4,,,,F,
MO,1998,9/2/1998,0-8,1,6.5,6.3,0.3,,,,F,
ME,1998,9/28/1998,0-2,1,8.1,7.5,0.4,,,,H,
ME,1998,9/28/1998,0-8,1,8.7,7.9,0.8,,,,H,
ME,1998,9/28/1998,0-8,2,8.3,7.1,1.6,,,,H,
MO,1998,9/28/1998,0-2,1,57,54.7,0,,,,H,
MO,1998,9/28/1998,0-8,1,19.5,19,-0.3,,,,H,
MO,1998,9/28/1998,0-8,2,18.2,17.7,-0.1,,,,H,
FI,1998,9/29/1998,0-2,1,15.5,14.6,0.6,,,,H,
WI,1998,9/29/1998,0-2,1,22.3,16.6,9.2,,,,H,
FI,1998,10/26/1998,0-2,1,9.8,9.2,0.6,,,,H,
ME,1998,10/27/1998,0-2,1,8.2,7.2,1.2,,,,H,
ME,1998,10/27/1998,0-8,1,11.9,11.2,0.6,,,,H,
MO,1998,10/27/1998,0-2,1,38.8,33.8,6,,,,H,
MO,1998,10/27/1998,0-8,1,35.5,32.8,2.1,,,,H,
ME,1998,11/23/1998,0-2,1,7.1,6.4,0.7,,,,H,
ME,1998,11/23/1998,0-8,1,5.8,5.1,0.9,,,,H,
MO,1998,11/23/1998,0-2,1,7.7,5.3,3.6,,,,H,
MO,1998,11/23/1998,0-8,1,8.5,6.1,3.6,,,,H,
FI,1998,11/24/1998,0-2,1,11.6,9.7,2.7,,,,H,
WI,1998,11/24/1998,0-2,1,10.2,8.9,1.7,,,,H,
ME,1999,1/25/1999,0-2,1,1.1,0.8,0.4,0.7,,,H,C
ME,1999,1/25/1999,0-8,1,2.1,2.1,0.2,0.8,,,H,C
WI,1999,1/26/1999,1,1,,,,2.1,,,,C
WI,1999,1/26/1999,2,1,,,,0.5,,,,C
WI,1999,1/26/1999,0-2,1,3.2,3,0.2,2.9,,,H,C
MO,1999,1/27/1999,0-2,1,1.4,1.3,0.2,1,,,H,C
MO,1999,1/27/1999,0-8,1,1.9,1.6,0.4,1.3,,,H,C
FI,1999,1/28/1999,1,1,,,,3,,,,C
FI,1999,1/28/1999,2,1,,,,6.8,,,,C
FI,1999,1/28/1999,4,1,,,,8,,,,C
FI,1999,1/28/1999,6,1,,,,4.6,,,,C
FI,1999,1/28/1999,8,1,,,,3.3,,,,C
