"lakeid","year4","sampledate","sta","depth_range","division","taxa_name","gald","cells_per_nu","nu_per_ml","cells_per_ml","biovolume_conc","biomass_conc","relative_total_biovolume","genus"
"ME",1995,"1995-03-08",,"0-8m","Pyrrhophyta","Gymnodinium sp2 ",12.467,1,122.747,122.747,48042.162,0.04804216,7.348,"Gymnodinium"
"ME",1995,"1995-03-08",,"0-8m","Pyrrhophyta","Gymnodinium sp3 ",8.8,1,208.347,208.347,26402.509,0.02640251,4.038,"Gymnodinium"
"ME",1995,"1995-03-08",,"0-8m","Pyrrhophyta","Peridinium umbonatum ",11,1,13.151,13.151,6879.323,0.00687932,1.052,"Peridinium"
"ME",1995,"1995-03-08",,"0-8m","Pyrrhophyta","Amphidinium  ",6.6,1,677.129,677.129,36200.315,0.03620032,5.537,"Amphidinium"
"ME",1995,"1995-03-08",,"0-8m","Miscellaneous","Miscellaneous",3.575,1,1145.911,1145.911,32505.591,0.03250559,4.972,
"ME",1995,"1995-03-08",,"0-8m","Miscellaneous","Miscellaneous",5.775,1,1041.737,1041.737,112600,0.1126,17.219,
"ME",1995,"1995-03-08",,"0-8m","Chlorophyta","Chlamydomonas inepta",8.8,1,52.087,52.087,4641.066,0.00464107,0.71,"Chlamydomonas"
"ME",1995,"1995-03-08",,"0-8m","Bacillariophyta","Achnanthes minutissima ",13.2,1,4.384,4.384,580.426,0.00058043,0.089,"Achnanthes"
"FI",1995,"1995-03-28",,"0-2m","Bacillariophyta","Cyclotella bodanica ",22,1,315.636,315.636,923400,0.9234,35.091,"Cyclotella"
"FI",1995,"1995-03-28",,"0-2m","Chrysophyta","Dinobryon cylindricum ",31.9,1,13.151,13.151,2709.208,0.00270921,0.103,"Dinobryon"
"FI",1995,"1995-03-28",,"0-2m","Chrysophyta","Dinobryon cylindricum ",66,2,13.151,26.302,5418.416,0.00541842,0.206,"Dinobryon"
"FI",1995,"1995-03-28",,"0-2m","Chrysophyta","Dinobryon sertularia ",33,1,52.087,52.087,10417.368,0.01041737,0.396,"Dinobryon"
"FI",1995,"1995-03-28",,"0-2m","Bacillariophyta","Fragilaria  ",44,3,13.151,39.453,17412.776,0.01741278,0.662,"Fragilaria"
"FI",1995,"1995-03-28",,"0-2m","Bacillariophyta","Nitzschia acicularis ",44,1,52.087,52.087,5746.98,0.00574698,0.218,"Nitzschia"
"FI",1995,"1995-03-28",,"0-2m","Chrysophyta","Chrysococcus minutus ",8.8,1,6.576,6.576,2343.661,0.00234366,0.089,"Chrysococcus"
"FI",1995,"1995-03-28",,"0-2m","Chrysophyta","Kephyrion sp1 ",4.4,1,52.087,52.087,2320.533,0.00232053,0.088,"Kephyrion"
"FI",1995,"1995-03-28",,"0-2m","Chrysophyta","Erkenia subaequiciliata ",4.4,1,11823.713,11823.713,526800,0.5268,20.018,"Erkenia"
"FI",1995,"1995-03-28",,"0-2m","Chlorophyta","Monoraphidium arcuatum",50.6,1,6.576,6.576,1518.23,0.00151823,0.058,"Monoraphidium"
"FI",1995,"1995-03-28",,"0-2m","Chlorophyta","Oocystis parva ",11,1,52.087,52.087,9064.582,0.00906458,0.344,"Oocystis"
"FI",1995,"1995-03-28",,"0-2m","Chlorophyta","Sphaerocystis schroeteri ",22,20,52.087,1041.74,5801.332,0.00580133,0.22,"Sphaerocystis"
"FI",1995,"1995-03-28",,"0-2m","Chlorophyta","Chlorococcaceae",4.4,1,468.782,468.782,20884.797,0.0208848,0.794,
"FI",1995,"1995-03-28",,"0-2m","Cryptophyta","Cryptomonas erosa ",14.667,1,364.608,364.608,98805.008,0.09880501,3.755,"Cryptomonas"
"FI",1995,"1995-03-28",,"0-2m","Cryptophyta","Cryptomonas lucens ",11,1,52.087,52.087,6741.555,0.00674156,0.256,"Cryptomonas"
"FI",1995,"1995-03-28",,"0-2m","Cryptophyta","Rhodomonas minuta ",8.067,1,1927.213,1927.213,100400,0.1004,3.814,"Rhodomonas"
"FI",1995,"1995-03-28",,"0-2m","Cryptophyta","Cryptomonas ovata ",28.6,1,6.576,6.576,13020.954,0.01302095,0.495,"Cryptomonas"
"FI",1995,"1995-03-28",,"0-2m","Cyanophyta","Aphanizomenon flos-aquae",165.629,37.643,203.848,7673.4503,288600,0.2886,10.968,"Aphanizomenon"
"FI",1995,"1995-03-28",,"0-2m","Cyanophyta","Oscillatoria tenuis ",647.167,147.083,39.454,5803.0127,388000,0.388,14.747,"Oscillatoria"
"FI",1995,"1995-03-28",,"0-2m","Pyrrhophyta","Gymnodinium sp2 ",13.2,1,59.182,59.182,25311.541,0.02531154,0.962,"Gymnodinium"
"FI",1995,"1995-03-28",,"0-2m","Pyrrhophyta","Gymnodinium sp3 ",7.7,1,104.174,104.174,9385.267,0.00938527,0.357,"Gymnodinium"
"FI",1995,"1995-03-28",,"0-2m","Miscellaneous","Miscellaneous",2.2,1,2916.863,2916.863,16243.731,0.01624373,0.617,
"FI",1995,"1995-03-28",,"0-2m","Miscellaneous","Miscellaneous",6.05,1,1770.953,1770.953,80747.296,0.0807473,3.069,
"FI",1995,"1995-03-28",,"0-2m","Bacillariophyta","Bacteria (photosynthetic) ",2.475,1,8021.374,8021.374,65958.431,0.06595843,2.507,"Bacteria"
"FI",1995,"1995-03-28",,"0-2m","Chlorophyta","Scenedesmus quadricauda var. quadrispina",22,4,6.576,26.304,4397.166,0.00439717,0.167,"Scenedesmus"
"MO",1995,"1995-03-28",,"0-2m","Bacillariophyta","Diatoma tenuis",77,3,4.384,13.152,2448.672,0.00244867,0.124,"Diatoma"
"MO",1995,"1995-03-28",,"0-2m","Bacillariophyta","Fragilaria capucina ",125.4,28.5,4.384,124.944,16542.137,0.01654214,0.835,"Fragilaria"
"MO",1995,"1995-03-28",,"0-2m","Bacillariophyta","Nitzschia acicularis ",77,1,4.384,4.384,1904.522,0.00190452,0.096,"Nitzschia"
"MO",1995,"1995-03-28",,"0-2m","Bacillariophyta","Stephanodiscus niagarae ",35.933,1,17.535,17.535,277900,0.2779,14.021,"Stephanodiscus"
"MO",1995,"1995-03-28",,"0-2m","Bacillariophyta","Synedra  ",44,2,26.303,52.606,23217.034,0.02321703,1.171,"Synedra"
"MO",1995,"1995-03-28",,"0-2m","Bacillariophyta","Synedra cyclopum var. incisa",33,1,4.384,4.384,1451.065,0.00145107,0.073,"Synedra"
"MO",1995,"1995-03-28",,"0-2m","Bacillariophyta","Cyclostephanos invisitatus ",6.05,1,12934.899,12934.899,806500,0.8065,40.691,"Cyclostephanos"
"MO",1995,"1995-03-28",,"0-2m","Chrysophyta","Erkenia subaequiciliata ",4.4,1,260.434,260.434,11602.665,0.01160267,0.585,"Erkenia"
"MO",1995,"1995-03-28",,"0-2m","Bacillariophyta","Cymbella amphicephala ",15.4,1,4.384,4.384,380.904,0.0003809,0.019,"Cymbella"
"MO",1995,"1995-03-28",,"0-2m","Chlorophyta","Monoraphidium arcuatum",17.6,1,4.384,4.384,156.468,0.00015647,0.008,"Monoraphidium"
"MO",1995,"1995-03-28",,"0-2m","Chlorophyta","Chlamydomonas globosa ",8.25,1,312.521,312.521,93002.611,0.09300261,4.692,"Chlamydomonas"
"MO",1995,"1995-03-28",,"0-2m","Chlorophyta","Dictyosphaerium pulchellum ",11,4,4.384,17.536,2636.619,0.00263662,0.133,"Dictyosphaerium"
"MO",1995,"1995-03-28",,"0-2m","Chlorophyta","Quadrigula lacustris ",17.6,1,4.384,4.384,1172.577,0.00117258,0.059,"Quadrigula"
"MO",1995,"1995-03-28",,"0-2m","Chlorophyta","Schroederia judayi ",27.5,1,30.687,30.687,2417.139,0.00241714,0.122,"Schroederia"
"MO",1995,"1995-03-28",,"0-2m","Chlorophyta","Schroederia setigera ",59.4,1,4.384,4.384,528.08,0.00052808,0.027,"Schroederia"
"MO",1995,"1995-03-28",,"0-2m","Cryptophyta","Cryptomonas erosa ",16.867,1,118.363,118.363,48610.77,0.04861077,2.453,"Cryptomonas"
"MO",1995,"1995-03-28",,"0-2m","Cryptophyta","Rhodomonas minuta ",10.45,1,607.68,607.68,38991.684,0.03899168,1.967,"Rhodomonas"
"MO",1995,"1995-03-28",,"0-2m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",8.25,1,1562.605,1562.605,64436.179,0.06443618,3.251,"Rhodomonas"
"MO",1995,"1995-03-28",,"0-2m","Cryptophyta","Cryptomonas ovata ",32.267,1,21.919,21.919,65325.373,0.06532537,3.296,"Cryptomonas"
"MO",1995,"1995-03-28",,"0-2m","Pyrrhophyta","Glenodinium quadridens ",11.55,1,118.363,118.363,73182.243,0.07318224,3.692,"Glenodinium"
"MO",1995,"1995-03-28",,"0-2m","Pyrrhophyta","Gymnodinium sp3 ",8.8,1,156.261,156.261,19801.881,0.01980188,0.999,"Gymnodinium"
"MO",1995,"1995-03-28",,"0-2m","Miscellaneous","Miscellaneous",2.2,1,2864.776,2864.776,15953.664,0.01595366,0.805,
"MO",1995,"1995-03-28",,"0-2m","Miscellaneous","Miscellaneous",4.4,1,694.491,694.491,24172.219,0.02417222,1.22,
"MO",1995,"1995-03-28",,"0-2m","Chlorophyta","Chlamydomonas inepta",7.7,1,468.782,468.782,62654.391,0.06265439,3.161,"Chlamydomonas"
"MO",1995,"1995-03-28",,"0-2m","Chlorophyta","Chlamydomonas augustae ",14.3,1,208.347,208.347,324300,0.3243,16.362,"Chlamydomonas"
"MO",1995,"1995-03-28",,"0-2m","Bacillariophyta","Achnanthes minutissima ",15.4,1,17.535,17.535,2708.654,0.00270865,0.137,"Achnanthes"
"ME",1995,"1995-03-28",,"0-8m","Bacillariophyta","Fragilaria capucina ",49.5,12.5,8.768,109.6,42709.669,0.04270967,6.296,"Fragilaria"
"ME",1995,"1995-03-28",,"0-8m","Bacillariophyta","Stephanodiscus hantzschii ",11.733,1,13.151,13.151,5805.724,0.00580572,0.856,"Stephanodiscus"
"ME",1995,"1995-03-28",,"0-8m","Bacillariophyta","Synedra  ",88,1,4.384,4.384,3869.506,0.00386951,0.57,"Synedra"
"ME",1995,"1995-03-28",,"0-8m","Bacillariophyta","Cyclostephanos invisitatus ",6.05,1,520.868,520.868,32476.421,0.03247642,4.788,"Cyclostephanos"
"ME",1995,"1995-03-28",,"0-8m","Chrysophyta","Uroglena  ",4.4,1,104.174,104.174,4649.94,0.00464994,0.685,"Uroglena"
"ME",1995,"1995-03-28",,"0-8m","Chlorophyta","Monoraphidium arcuatum",49.133,1,13.151,13.151,4058.392,0.00405839,0.598,"Monoraphidium"
"ME",1995,"1995-03-28",,"0-8m","Chlorophyta","Chlamydomonas globosa ",8.8,1,52.087,52.087,18564.264,0.01856426,2.737,"Chlamydomonas"
"ME",1995,"1995-03-28",,"0-8m","Chlorophyta","Chlamydomonas incerta ",12.467,1,61.374,61.374,63457.883,0.06345788,9.355,"Chlamydomonas"
"ME",1995,"1995-03-28",,"0-8m","Chlorophyta","Scenedesmus bijuga ",11,4,8.768,35.072,1978.724,0.00197872,0.292,"Scenedesmus"
"ME",1995,"1995-03-28",,"0-8m","Cryptophyta","Cryptomonas erosa ",14.85,1,144.666,144.666,41952.126,0.04195213,6.185,"Cryptomonas"
"ME",1995,"1995-03-28",,"0-8m","Cryptophyta","Rhodomonas minuta ",11,1,364.608,364.608,32072.779,0.03207278,4.728,"Rhodomonas"
"ME",1995,"1995-03-28",,"0-8m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",7.425,1,1145.911,1145.911,37113.241,0.03711324,5.471,"Rhodomonas"
"ME",1995,"1995-03-28",,"0-8m","Cryptophyta","Cryptomonas ovata ",29.15,1,39.454,39.454,88002.563,0.08800256,12.973,"Cryptomonas"
"ME",1995,"1995-03-28",,"0-8m","Cyanophyta","Aphanothece saxicola ",22,8,4.384,35.072,1318.309,0.00131831,0.194,"Aphanothece"
"ME",1995,"1995-03-28",,"0-8m","Pyrrhophyta","Glenodinium quadridens ",13.2,1,131.515,131.515,94659.491,0.09465949,13.955,"Glenodinium"
"ME",1995,"1995-03-28",,"0-8m","Pyrrhophyta","Gymnodinium sp2 ",10.45,1,8.768,8.768,1876.014,0.00187601,0.277,"Gymnodinium"
"ME",1995,"1995-03-28",,"0-8m","Pyrrhophyta","Gymnodinium sp3 ",8.8,1,208.347,208.347,26402.509,0.02640251,3.892,"Gymnodinium"
"ME",1995,"1995-03-28",,"0-8m","Pyrrhophyta","Peridinium umbonatum ",11,1,4.384,4.384,2293.108,0.00229311,0.338,"Peridinium"
"ME",1995,"1995-03-28",,"0-8m","Pyrrhophyta","Pyrrhophyta",13.2,1,4.384,4.384,1781.183,0.00178118,0.263,
"ME",1995,"1995-03-28",,"0-8m","Pyrrhophyta","Amphidinium  ",6.6,1,416.695,416.695,22277.117,0.02227712,3.284,"Amphidinium"
"ME",1995,"1995-03-28",,"0-8m","Miscellaneous","Miscellaneous",3.575,1,4791.989,4791.989,135900,0.1359,20.039,
"ME",1995,"1995-03-28",,"0-8m","Miscellaneous","Miscellaneous",4.4,1,1041.737,1041.737,11602.665,0.01160267,1.71,
"ME",1995,"1995-03-28",,"0-8m","Chlorophyta","Chlamydomonas inepta",6.6,1,52.087,52.087,3480.799,0.0034808,0.513,"Chlamydomonas"
"MO",1995,"1995-04-11",,"0-2m","Bacillariophyta","Cyclotella bodanica ",17.6,1,52.087,52.087,78019.602,0.0780196,5.96,"Cyclotella"
"MO",1995,"1995-04-11",,"0-2m","Bacillariophyta","Diatoma tenuis",66,3.667,30.687,112.5292,35663.944,0.03566394,2.724,"Diatoma"
"MO",1995,"1995-04-11",,"0-2m","Bacillariophyta","Fragilaria capucina ",44,1.933,17.535,33.8952,7648.723,0.00764872,0.584,"Fragilaria"
"MO",1995,"1995-04-11",,"0-2m","Bacillariophyta","Navicula sp1 ",38.5,1,52.087,52.087,181000,0.181,13.829,"Navicula"
"MO",1995,"1995-04-11",,"0-2m","Bacillariophyta","Nitzschia  ",22,1,4.384,4.384,241.844,0.00024184,0.018,"Nitzschia"
"MO",1995,"1995-04-11",,"0-2m","Bacillariophyta","Nitzschia acicularis ",55,1,52.087,52.087,7183.725,0.00718373,0.549,"Nitzschia"
"MO",1995,"1995-04-11",,"0-2m","Bacillariophyta","Stephanodiscus niagarae ",44,1,8.768,8.768,199300,0.1993,15.228,"Stephanodiscus"
"MO",1995,"1995-04-11",,"0-2m","Bacillariophyta","Synedra cyclopum var. incisa",35.2,1,4.384,4.384,1547.802,0.0015478,0.118,"Synedra"
"MO",1995,"1995-04-11",,"0-2m","Bacillariophyta","Cyclostephanos invisitatus ",6.05,1,4323.208,4323.208,269600,0.2696,20.592,"Cyclostephanos"
"MO",1995,"1995-04-11",,"0-2m","Chlorophyta","Monoraphidium arcuatum",23.1,1.75,56.99,99.7325,21739.292,0.02173929,1.661,"Monoraphidium"
"MO",1995,"1995-04-11",,"0-2m","Chlorophyta","Chlamydomonas globosa ",7.333,1,468.782,468.782,102700,0.1027,7.844,"Chlamydomonas"
"MO",1995,"1995-04-11",,"0-2m","Chlorophyta","Oocystis parva ",17.6,4,4.384,17.536,1171.831,0.00117183,0.09,"Oocystis"
"MO",1995,"1995-04-11",,"0-2m","Chlorophyta","Quadrigula lacustris ",44,2,4.384,8.768,1319.15,0.00131915,0.101,"Quadrigula"
"MO",1995,"1995-04-11",,"0-2m","Chlorophyta","Schroederia judayi ",58.667,1,35.071,35.071,5232.295,0.0052323,0.4,"Schroederia"
"MO",1995,"1995-04-11",,"0-2m","Chlorophyta","Sphaerocystis schroeteri ",11,8,4.384,35.072,5273.238,0.00527324,0.403,"Sphaerocystis"
"MO",1995,"1995-04-11",,"0-2m","Chlorophyta","Colonial",24.2,3,8.768,26.304,21971.824,0.02197182,1.678,"Colonial"
"MO",1995,"1995-04-11",,"0-2m","Cryptophyta","Cryptomonas erosa ",16.5,1,52.606,52.606,20269.304,0.0202693,1.548,"Cryptomonas"
"MO",1995,"1995-04-11",,"0-2m","Cryptophyta","Rhodomonas minuta ",11,1,52.087,52.087,3487.455,0.00348746,0.266,"Rhodomonas"
"MO",1995,"1995-04-11",,"0-2m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",8.8,1,312.521,312.521,23022.652,0.02302265,1.759,"Rhodomonas"
"MO",1995,"1995-04-11",,"0-2m","Cryptophyta","Cryptomonas ovata ",30.8,1,21.919,21.919,54209.524,0.05420952,4.141,"Cryptomonas"
"MO",1995,"1995-04-11",,"0-2m","Cyanophyta","Aphanizomenon flos-aquae",148.5,33.75,21.919,739.7663,27825.813,0.02782581,2.126,"Aphanizomenon"
"MO",1995,"1995-04-11",,"0-2m","Cyanophyta","Lyngbya limnetica ",154,55,8.768,482.24,655.911,0.00065591,0.05,"Lyngbya"
"MO",1995,"1995-04-11",,"0-2m","Cyanophyta","Oscillatoria limnetica ",66,22.5,13.151,295.8975,7007.983,0.00700798,0.535,"Pseudanabaena"
"MO",1995,"1995-04-11",,"0-2m","Pyrrhophyta","Glenodinium quadridens ",13.2,1,21.919,21.919,13758.647,0.01375865,1.051,"Glenodinium"
"MO",1995,"1995-04-11",,"0-2m","Pyrrhophyta","Gymnodinium sp2 ",13.2,1,4.384,4.384,1874.929,0.00187493,0.143,"Gymnodinium"
"MO",1995,"1995-04-11",,"0-2m","Pyrrhophyta","Gymnodinium sp3 ",8.067,1,17.535,17.535,1793.914,0.00179391,0.137,"Gymnodinium"
"MO",1995,"1995-04-11",,"0-2m","Miscellaneous","Miscellaneous",2.2,1,1875.126,1875.126,10442.398,0.0104424,0.798,
"MO",1995,"1995-04-11",,"0-2m","Miscellaneous","Miscellaneous",4.125,1,520.868,520.868,11149.436,0.01114944,0.852,
"MO",1995,"1995-04-11",,"0-2m","Chlorophyta","Chlamydomonas inepta",7.7,1,572.955,572.955,85152.683,0.08515268,6.505,"Chlamydomonas"
"MO",1995,"1995-04-11",,"0-2m","Chlorophyta","Chlamydomonas augustae ",11,1,156.261,156.261,108800,0.1088,8.309,"Chlamydomonas"
"ME",1995,"1995-04-11",,"0-8m","Bacillariophyta","Fragilaria capucina ",22,1,4.384,4.384,967.376,0.00096738,0.039,"Fragilaria"
"ME",1995,"1995-04-11",,"0-8m","Bacillariophyta","Navicula sp1 ",22,1,8.768,8.768,7013.479,0.00701348,0.282,"Navicula"
"ME",1995,"1995-04-11",,"0-8m","Bacillariophyta","Nitzschia  ",132,1,4.384,4.384,9069.154,0.00906915,0.365,"Nitzschia"
"ME",1995,"1995-04-11",,"0-8m","Bacillariophyta","Nitzschia acicularis ",33,1,13.151,13.151,4353.194,0.00435319,0.175,"Nitzschia"
"ME",1995,"1995-04-11",,"0-8m","Bacillariophyta","Stephanodiscus niagarae ",22,1,61.374,61.374,174400,0.1744,7.016,"Stephanodiscus"
"ME",1995,"1995-04-11",,"0-8m","Bacillariophyta","Synedra cyclopum var. incisa",55,1,87.677,87.677,48368.821,0.04836882,1.946,"Synedra"
"ME",1995,"1995-04-11",,"0-8m","Bacillariophyta","Cyclostephanos invisitatus ",6.05,1,22322.932,22322.932,1392000,1.392,55.985,"Cyclostephanos"
"ME",1995,"1995-04-11",,"0-8m","Chlorophyta","Monoraphidium arcuatum",66,1,8.768,8.768,2151.437,0.00215144,0.087,"Monoraphidium"
"ME",1995,"1995-04-11",,"0-8m","Chlorophyta","Chlamydomonas globosa ",7.333,1,364.608,364.608,79865.01,0.07986501,3.212,"Chlamydomonas"
"ME",1995,"1995-04-11",,"0-8m","Chlorophyta","Chlamydomonas incerta ",12.467,1,156.261,156.261,161600,0.1616,6.499,"Chlamydomonas"
"ME",1995,"1995-04-11",,"0-8m","Cryptophyta","Cryptomonas erosa ",14.85,1,78.909,78.909,22882.978,0.02288298,0.92,"Cryptomonas"
"ME",1995,"1995-04-11",,"0-8m","Cryptophyta","Rhodomonas minuta ",11,1,208.347,208.347,13949.82,0.01394982,0.561,"Rhodomonas"
"ME",1995,"1995-04-11",,"0-8m","Cryptophyta","Rhodomonas minuta var. nannoplanctica",7.15,1,1093.824,1093.824,40337.32,0.04033732,1.623,"Rhodomonas"
"ME",1995,"1995-04-11",,"0-8m","Cryptophyta","Cryptomonas ovata ",31.9,1,61.374,61.374,169200,0.1692,6.807,"Cryptomonas"
"ME",1995,"1995-04-11",,"0-8m","Cyanophyta","Aphanothece saxicola ",26.4,8,4.384,35.072,1757.746,0.00175775,0.071,"Aphanothece"
