"lakeid","year","lastopen","ice_on","lastice","ice_off","duration","comments"
"AL",2007,"2006-11-30","2006-12-01","2007-04-09","2007-04-12",132,
"AL",2008,"2007-11-21","2007-11-23","2008-04-25","2008-04-28",158,
"AL",2009,"2008-11-24","2008-11-25","2009-04-17","2009-04-20",146,
"AL",2010,"2009-12-04","2009-12-07","2010-03-29","2010-03-31",115,
"AL",2011,"2010-11-23","2010-11-27","2011-04-25","2011-04-26",153,
"AL",2012,"2011-11-28","2011-11-30","2012-03-19","2012-03-20",113,
"AL",2013,"2012-12-06","2012-12-07","2013-05-08","2013-05-09",154,
"AL",2014,"2013-11-18","2013-11-19","2014-05-06","2014-05-07",170,
"AL",2015,"2014-11-20","2014-11-21","2015-04-10","2015-04-14",143,
"AL",2016,"2015-11-27","2015-11-30","2016-04-16","2016-04-18",141,
"AL",2017,"2016-12-09","2016-12-12","2017-04-07","2017-04-09",119,
"AL",2018,"2017-11-17","2017-11-20","2018-05-04","2018-05-07",169,
"AL",2019,"2018-11-14","2018-11-16","2019-04-23","2019-04-25",161,
"AL",2020,"2019-11-21","2019-11-22","2020-04-25","2020-04-26",157,
"AL",2021,"2020-11-25","2020-11-27","2021-04-02","2021-04-05",130,
"AL",2022,"2021-11-25","2021-11-26","2022-04-29","2022-05-02",157,
"AL",2023,"2022-11-22","2022-11-23","2023-05-01","2023-05-02",161,
"AL",2024,"2023-11-27","2023-11-28","2024-04-07","2024-04-08",126,"open 2024-03-14 to 2024-03-20"
"BM",1982,"1981-12-04","1981-12-15","1982-04-30","1982-05-04",144,
"BM",1983,"1982-12-03","1982-12-07","1983-04-29","1983-05-02",148,
"BM",1984,"1983-12-02","1983-12-03","1984-04-19","1984-04-23",141,
"BM",1985,"1984-11-20","1984-11-21","1985-04-22","1985-04-23",154,
"BM",1986,"1985-11-11","1985-11-25","1986-04-12","1986-04-13",147,
"BM",1987,"1986-11-17","1986-11-18","1987-04-10","1987-04-11",145,
"BM",1988,"1987-12-02","1987-12-03","1988-04-15","1988-04-16",136,
"BM",1989,"1988-11-30","1988-12-01","1989-04-27","1989-04-28",149,
"BM",1990,"1989-11-20","1989-11-22","1990-04-18","1990-04-19",150,
"BM",1991,"1990-12-03","1990-12-05","1991-04-19","1991-04-22",139,
"BM",1992,"1991-11-24","1991-11-27","1992-04-30","1992-05-01",158,
"BM",1993,"1992-11-27","1992-11-30","1993-04-30","1993-05-02",154,
"BM",1994,"1993-11-24","1993-12-01","1994-04-18","1994-04-21",144,
"BM",1995,"1994-12-07","1994-12-09","1995-04-22","1995-04-24",137,
"BM",1996,"1995-11-11","1995-11-13","1996-05-12","1996-05-13",184,
"BM",1997,"1996-11-22","1996-11-25","1997-04-28","1997-04-29",157,
"BM",1998,"1997-11-21","1997-11-24","1998-04-08","1998-04-09",138,
"BM",1999,"1998-12-22","1998-12-23","1999-04-15","1999-04-16",115,
"BM",2000,"1999-12-16","1999-12-17","2000-04-02","2000-04-03",109,
"BM",2001,"2000-12-01","2000-12-04","2001-04-20","2001-04-23",141,
"BM",2002,"2001-12-24","2001-12-26","2002-04-17","2002-04-19",115,
"BM",2003,"2002-11-25","2002-11-27","2003-04-25","2003-04-26",152,
"BM",2004,"2003-12-01","2003-12-03","2004-04-21","2004-04-22",143,
"BM",2005,"2004-12-15","2004-12-17","2005-04-15","2005-04-16",122,
"BM",2006,"2005-12-02","2005-12-03","2006-04-14","2006-04-16",134,
"BM",2007,"2006-12-04","2006-12-05","2007-04-19","2007-04-20",137,
"BM",2008,"2007-11-30","2007-12-03","2008-04-30","2008-05-02",152,
"BM",2009,"2008-12-01","2008-12-03","2009-04-17","2009-04-20",139,
"BM",2010,"2009-12-04","2009-12-07","2010-03-29","2010-03-31",115,
"BM",2011,"2010-12-04","2010-12-06","2011-04-27","2011-04-28",145,
"BM",2012,"2011-12-03","2011-12-05","2012-03-19","2012-03-20",108,
"BM",2013,"2012-12-10","2012-12-11","2013-05-09","2013-05-10",151,
"BM",2014,"2013-11-27","2013-11-27","2014-05-08","2014-05-09",165,
"BM",2015,"2014-11-20","2014-11-21","2015-04-14","2015-04-15",146,
"BM",2016,"2015-12-25","2015-12-28","2016-04-18","2016-04-19",115,
"BM",2017,"2016-12-10","2016-12-12","2017-04-07","2017-04-09",119,
"BM",2018,"2017-12-07","2017-12-11","2018-05-04","2018-05-07",149,
"BM",2019,"2018-11-16","2018-11-19","2019-04-26","2019-04-29",162,
"BM",2020,"2019-11-29","2019-12-02","2020-04-26","2020-04-28",149,
"BM",2021,"2020-12-04","2020-12-07","2021-04-02","2021-04-06",120,
"BM",2022,"2021-11-29","2021-11-30","2022-05-04","2022-05-06",157,
"BM",2023,"2022-12-04","2022-12-05","2023-05-04","2023-05-05",152,
"BM",2024,"2023-11-30","2023-12-01","2024-04-06","2024-04-07",124,"open 2024-03-16 to 2024-03-20"
"CB",1982,,"1981-11-23","1982-04-28","1982-04-30",159,
"CB",1983,"1982-11-11","1982-11-22","1983-04-26","1983-04-27",162,
"CB",1984,,"1983-11-14","1984-04-09","1984-04-16",152,
"CB",1985,"1984-11-05","1984-11-06","1985-04-22","1985-04-23",169,
"CB",1986,"1985-11-08","1985-11-11","1986-04-11","1986-04-12",154,
"CB",1987,"1986-11-07","1986-11-10","1987-04-09","1987-04-10",153,
"CB",1988,"1987-11-20","1987-11-23",,"1988-04-11",142,
"CB",1989,"1988-11-16","1988-11-18","1989-04-21","1989-04-24",158,
"CB",1990,"1989-11-10","1989-11-13","1990-04-13","1990-04-16",155,
"CB",1991,"1990-11-23","1990-11-26","1991-04-12","1991-04-15",141,
"CB",1992,"1991-11-01","1991-11-04","1992-04-24","1992-04-27",176,
"CB",1993,"1992-11-04","1992-11-06","1993-04-26","1993-04-28",174,
"CB",1994,"1993-11-05","1993-11-08","1994-04-16","1994-04-18",162,
"CB",1995,"1994-11-21","1994-11-23","1995-04-14","1995-04-17",146,
"CB",1996,"1995-11-03","1995-11-07","1996-05-05","1996-05-06",184,
"CB",1997,"1996-11-09","1996-11-11","1997-04-25","1997-04-26",168,
"CB",1998,"1997-11-10","1997-11-11","1998-04-06","1998-04-07",148,
"CB",1999,"1998-12-07","1998-12-08","1999-04-09","1999-04-12",125,
"CB",2000,"1999-11-24","1999-11-27","2000-03-24","2000-03-26",121,
"CB",2001,"2000-11-15","2000-11-17","2001-04-18","2001-04-20",155,
"CB",2002,"2001-12-06","2001-12-07","2002-04-17","2002-04-19",133,
"CB",2003,"2002-11-13","2002-11-14","2003-04-14","2003-04-16",153,
"CB",2004,"2003-11-05","2003-11-06","2004-04-16","2004-04-19",165,
"CB",2005,"2004-11-19","2004-11-22","2005-04-11","2005-04-12",143,
"CB",2006,"2005-11-16","2005-11-17","2006-04-11","2006-04-12",147,
"CB",2007,"2006-11-29","2006-11-30","2007-04-09","2007-04-12",133,
"CB",2008,"2007-11-14","2007-11-16","2008-04-23","2008-04-25",162,
"CB",2009,"2008-11-14","2008-11-17","2009-04-17","2009-04-20",155,
"CB",2010,"2009-11-30","2009-12-01","2010-03-26","2010-03-29",118,
"CB",2011,"2010-11-19","2010-11-22","2011-04-23","2011-04-25",155,
"CB",2012,"2011-11-17","2011-11-18","2012-03-19","2012-03-20",124,
"CB",2013,"2012-11-23","2012-11-26","2013-05-06","2013-05-07",164,
"CB",2014,"2013-11-18","2013-11-19","2014-05-05","2014-05-06",169,
"CB",2015,"2014-11-07","2014-11-10","2015-04-10","2015-04-13",155,
"CB",2016,"2015-11-20","2015-11-23","2016-04-14","2016-04-15",146,
"CB",2017,"2016-12-02","2016-12-05","2017-04-07","2017-04-09",126,
"CB",2018,"2017-11-06","2017-11-07","2018-05-03","2018-05-04",179,
"CB",2019,"2018-11-08","2018-11-09","2019-04-23","2019-04-25",167,
"CB",2020,"2019-11-05","2019-11-06","2020-04-22","2020-04-24",170,
"CB",2021,"2020-11-17","2020-11-18","2021-04-02","2021-04-05",138,
"CB",2022,"2021-11-19","2021-11-21","2022-04-29","2022-05-02",163,
"CB",2023,"2022-11-14","2022-11-15","2023-04-27","2023-04-28",165,
"CB",2024,"2023-11-24","2023-11-26","2024-04-06","2024-04-07",135,
"CR",1982,"1981-12-04","1981-12-11","1982-05-01","1982-05-03",146,
"CR",1983,"1982-12-03","1982-12-07","1983-04-28","1983-04-29",146,
"CR",1984,"1983-12-02","1983-12-03","1984-04-19","1984-04-20",140,
"CR",1985,"1984-11-26","1984-12-01","1985-04-22","1985-04-23",146,
"CR",1986,"1985-11-22","1985-11-25","1986-04-12","1986-04-13",141,
"CR",1987,"1986-11-17","1986-11-19","1987-04-08","1987-04-09",143,
"CR",1988,"1987-11-30","1987-12-03","1988-04-14","1988-04-15",136,
"CR",1989,"1988-11-30","1988-12-01","1989-04-26","1989-04-27",148,
"CR",1990,"1989-11-20","1989-11-22","1990-04-13","1990-04-16",146,
"CR",1991,"1990-11-30","1990-12-03","1991-04-17","1991-04-18",138,
"CR",1992,"1991-11-24","1991-11-27","1992-04-29","1992-04-30",157,
"CR",1993,"1992-11-27","1992-11-30","1993-04-30","1993-05-02",154,
"CR",1994,"1993-11-24","1993-12-01","1994-04-18","1994-04-21",144,
"CR",1995,"1994-11-30","1994-12-02","1995-04-14","1995-04-17",137,
"CR",1996,"1995-11-22","1995-11-24","1996-05-10","1996-05-11",171,
"CR",1997,"1996-11-22","1996-11-25","1997-04-26","1997-04-28",155,
"CR",1998,"1997-11-21","1997-11-24","1998-04-07","1998-04-08",137,
"CR",1999,"1998-12-18","1998-12-21","1999-04-14","1999-04-15",117,
"CR",2000,"1999-12-16","1999-12-17","2000-03-30","2000-03-31",106,
"CR",2001,"2000-12-01","2000-12-04","2001-04-20","2001-04-23",141,
"CR",2002,"2001-12-24","2001-12-26","2002-04-17","2002-04-19",115,
"CR",2003,"2002-11-25","2002-11-27","2003-04-23","2003-04-24",150,
"CR",2004,"2003-12-01","2003-12-03","2004-04-16","2004-04-19",139,
"CR",2005,"2004-12-15","2004-12-17","2005-04-13","2005-04-15",120,
"CR",2006,"2005-12-02","2005-12-03","2006-04-12","2006-04-13",132,
"CR",2007,"2006-12-04","2006-12-05","2007-04-09","2007-04-12",128,
"CR",2008,"2007-11-30","2007-12-03","2008-04-29","2008-04-30",151,
"CR",2009,"2008-11-28","2008-12-01","2009-04-17","2009-04-20",141,
"CR",2010,"2009-12-10","2009-12-11","2010-03-26","2010-03-29",108,
"CR",2011,"2010-12-02","2010-12-04","2011-04-27","2011-04-28",147,
"CR",2012,"2011-12-03","2011-12-05","2012-03-19","2012-03-20",108,
"CR",2013,"2012-12-07","2012-12-10","2013-05-07","2013-05-08",151,
"CR",2014,"2013-11-27","2013-11-27","2014-05-06","2014-05-07",163,
"CR",2015,"2014-11-20","2014-11-21","2015-04-13","2015-04-14",145,
"CR",2016,"2015-12-25","2015-12-28","2016-04-16","2016-04-18",113,
"CR",2017,"2016-12-10","2016-12-12","2017-04-07","2017-04-09",119,
"CR",2018,"2017-12-07","2017-12-11","2018-05-06","2018-05-07",150,
"CR",2019,"2018-11-16","2018-11-19","2019-04-25","2019-04-26",160,
"CR",2020,"2019-11-28","2019-12-02","2020-04-26","2020-04-28",150,
"CR",2021,"2020-12-01","2020-12-02","2021-04-02","2021-04-05",124,
"CR",2022,"2021-12-06","2021-12-07","2022-05-04","2022-05-05",150,
"CR",2023,"2022-12-03","2022-12-04","2023-05-03","2023-05-04",152,
"CR",2024,"2023-12-02","2023-12-03","2024-03-28","2024-03-29",112,"open 2024-03-14 to 2024-03-20"
"SP",1982,"1981-12-08","1981-12-11","1982-05-03","1982-05-04",146,
"SP",1983,"1982-12-03","1982-12-07","1983-04-29","1983-04-30",147,
"SP",1984,"1983-12-02","1983-12-03","1984-04-20","1984-04-21",141,
"SP",1985,"1984-12-03","1984-12-04","1985-04-21","1985-04-22",140,
"SP",1986,"1985-11-24","1985-11-25","1986-04-11","1986-04-12",139,
"SP",1987,"1986-11-28","1986-12-01","1987-04-10","1987-04-12",133,
"SP",1988,"1987-12-02","1987-12-03","1988-04-13","1988-04-14",134,
"SP",1989,"1988-11-30","1988-12-01","1989-04-24","1989-04-26",146,
"SP",1990,"1989-11-24","1989-11-27","1990-04-16","1990-04-17",143,
"SP",1991,"1990-11-30","1990-12-03","1991-04-19","1991-04-22",141,
"SP",1992,"1991-11-27","1991-11-29","1992-04-30","1992-05-01",156,
"SP",1993,"1992-11-27","1992-11-30","1993-04-30","1993-05-02",154,
"SP",1994,"1993-11-24","1993-11-30","1994-04-21","1994-04-22",147,
"SP",1995,"1994-12-07","1994-12-09","1995-04-24","1995-04-25",139,
"SP",1996,"1995-11-22","1995-11-24","1996-05-10","1996-05-12",171,
"SP",1997,"1996-11-22","1996-11-25","1997-04-28","1997-04-29",157,"closed 3/28 then opened closed several times"
"SP",1998,"1997-12-20","1997-12-22","1998-04-08","1998-04-09",110,
"SP",1999,"1998-12-21","1998-12-22","1999-04-15","1999-04-16",116,
"SP",2000,"1999-12-16","1999-12-17","2000-04-02","2000-04-03",109,
"SP",2001,"2000-12-01","2000-12-04","2001-04-22","2001-04-23",142,
"SP",2002,"2001-12-24","2001-12-26","2002-04-17","2002-04-19",115,
"SP",2003,"2002-11-25","2002-11-27","2003-04-24","2003-04-25",151,
"SP",2004,"2003-12-01","2003-12-03","2004-04-16","2004-04-19",139,
"SP",2005,"2004-12-16","2004-12-17","2005-04-14","2005-04-15",120,
"SP",2006,"2005-12-02","2005-12-03","2006-04-13","2006-04-14",133,
"SP",2007,"2006-12-22","2006-12-23","2007-04-13","2007-04-16",114,
"SP",2008,"2007-11-30","2007-12-03","2008-05-01","2008-05-02",153,
"SP",2009,"2008-12-03","2008-12-04","2009-04-22","2009-04-23",141,
"SP",2010,"2009-12-10","2009-12-11","2010-03-30","2010-03-31",111,
"SP",2011,"2010-12-06","2010-12-07","2011-04-25","2011-04-26",141,
"SP",2012,"2011-12-05","2011-12-06","2012-03-19","2012-03-20",106,
"SP",2013,"2012-12-10","2012-12-11","2013-05-09","2013-05-10",151,
"SP",2014,"2013-11-27","2013-11-27","2014-05-08","2014-05-09",165,
"SP",2015,"2014-11-20","2014-11-21","2015-04-14","2015-04-15",146,
"SP",2016,"2015-12-25","2015-12-28","2016-04-16","2016-04-18",113,
"SP",2017,"2016-12-10","2016-12-12","2017-04-07","2017-04-09",119,
"SP",2018,"2017-12-07","2017-12-11","2018-05-04","2018-05-05",148,
"SP",2019,"2018-12-06","2018-12-07","2019-04-30","2019-05-01",146,
"SP",2020,"2019-11-28","2019-12-02","2020-04-26","2020-04-28",150,
"SP",2021,"2020-12-04","2020-12-07","2021-04-03","2021-04-05",120,
"SP",2022,"2021-12-06","2021-12-07","2022-05-04","2022-05-05",150,
"SP",2023,"2022-12-05","2022-12-06","2023-05-02","2023-05-03",149,
"SP",2024,"2023-12-01","2023-12-02","2024-03-27","2024-03-28",109,"open 2024-03-15 to 2024-03-23"
"TB",1982,"1981-11-10","1981-11-24","1982-05-01","1982-05-03",167,
"TB",1983,"1982-11-11","1982-11-22","1983-04-27","1983-04-28",163,
"TB",1984,"1983-11-11","1983-11-14","1984-04-18","1984-04-19",159,
"TB",1985,"1984-11-08","1984-11-12","1985-04-22","1985-04-23",165,
"TB",1986,"1985-11-12","1985-11-14","1986-04-10","1986-04-14",151,
"TB",1987,"1986-11-10","1986-11-11","1987-04-10","1987-04-12",152,
"TB",1988,"1987-11-20","1987-11-23","1988-04-13","1988-04-15",145,
"TB",1989,"1988-11-14","1988-11-18","1989-04-24","1989-04-26",161,
"TB",1990,"1989-11-13","1989-11-14","1990-04-20","1990-04-23",160,
"TB",1991,"1990-11-23","1990-11-26","1991-04-18","1991-04-19",146,
"TB",1992,"1991-11-01","1991-11-04","1992-04-28","1992-04-29",179,
"TB",1993,"1992-11-11","1992-11-13","1993-04-26","1993-04-28",167,
"TB",1994,"1993-11-05","1993-11-08","1994-04-18","1994-04-20",164,
"TB",1995,"1994-11-23","1994-11-26","1995-04-25","1995-04-27",153,
"TB",1996,"1995-11-07","1995-11-09","1996-05-08","1996-05-09",184,
"TB",1997,"1996-11-09","1996-11-11","1997-04-28","1997-04-29",171,
"TB",1998,"1997-11-12","1997-11-13","1998-04-10","1998-04-11",150,
"TB",1999,"1998-12-07","1998-12-08","1999-04-14","1999-04-15",129,
"TB",2000,"1999-11-24","1999-11-27","2000-04-03","2000-04-04",131,
"TB",2001,"2000-11-17","2000-11-20","2001-04-20","2001-04-23",155,
"TB",2002,"2001-12-06","2001-12-07","2002-04-22","2002-04-24",138,
"TB",2003,"2002-11-13","2002-11-14","2003-04-22","2003-04-23",161,
"TB",2004,"2003-11-07","2003-11-10","2004-04-19","2004-04-21",164,
"TB",2005,"2004-11-23","2004-11-24","2005-04-13","2005-04-15",142,
"TB",2006,"2005-11-21","2005-11-22","2006-04-12","2006-04-13",143,
"TB",2007,"2006-11-29","2006-11-30","2007-04-16","2007-04-18",139,
"TB",2008,"2007-11-15","2007-11-16","2008-04-29","2008-04-30",167,
"TB",2009,"2008-11-17","2008-11-19","2009-04-20","2009-04-22",155,
"TB",2010,"2009-11-30","2009-12-01","2010-03-29","2010-03-31",120,
"TB",2011,"2010-11-23","2010-11-27","2011-04-29","2011-05-01",157,
"TB",2012,"2011-11-17","2011-11-18","2012-03-23","2012-03-26",129,
"TB",2013,"2012-11-23","2012-11-26","2013-05-07","2013-05-09",165,
"TB",2014,"2013-11-18","2013-11-19","2014-05-08","2014-05-09",172,
"TB",2015,"2014-11-07","2014-11-10","2015-04-10","2015-04-13",155,
"TB",2016,"2015-11-20","2015-11-23","2016-04-16","2016-04-18",148,
"TB",2017,"2016-12-02","2016-12-05","2017-04-14","2017-04-15",133,
"TB",2018,"2017-11-09","2017-11-10","2018-05-04","2018-05-06",177,
"TB",2019,"2018-11-08","2018-11-09","2019-04-23","2019-04-25",168,
"TB",2020,"2019-11-05","2019-11-06","2020-04-24","2020-04-26",172,
"TB",2021,"2020-11-15","2020-11-16","2021-04-05","2021-04-06",142,
"TB",2022,"2021-11-19","2021-11-21","2022-05-05","2022-05-06",168,
"TB",2023,"2022-11-16","2022-11-18","2023-05-04","2023-05-05",170,
"TB",2024,"2023-11-17","2023-11-20","2024-04-09","2024-04-10",144,
"TR",1982,"1981-12-15","1981-12-20","1982-05-03","1982-05-04",138,
"TR",1983,"1982-12-10","1982-12-13","1983-05-01","1983-05-02",142,
"TR",1984,"1983-12-02","1983-12-03","1984-04-25","1984-04-26",146,
"TR",1985,"1984-12-14","1984-12-18","1985-04-23","1985-04-24",130,
"TR",1986,"1985-12-03","1985-12-04","1986-04-14","1986-04-15",133,
"TR",1987,"1986-12-06","1986-12-07","1987-04-15","1987-04-16",131,
"TR",1988,"1987-12-21","1987-12-22","1988-04-26","1988-04-27",128,
"TR",1989,"1988-12-10","1988-12-12","1989-05-02","1989-05-03",144,
"TR",1990,"1989-11-30","1989-12-01","1990-04-20","1990-04-23",143,
"TR",1991,"1990-12-13","1990-12-14","1991-04-25","1991-04-26",134,
"TR",1992,"1991-11-29","1991-12-02","1992-04-29","1992-04-30",152,
"TR",1993,"1992-12-07","1992-12-09","1993-05-06","1993-05-07",151,
"TR",1994,"1993-11-27","1993-11-30","1994-04-22","1994-04-25",147,
"TR",1995,"1994-12-09","1994-12-12","1995-04-30","1995-05-02",142,
"TR",1996,"1995-11-27","1995-11-29","1996-05-16","1996-05-17",172,
"TR",1997,"1996-11-26","1996-11-27","1997-04-30","1997-05-01",156,
"TR",1998,"1997-12-19","1997-12-22","1998-04-10","1998-04-11",112,
"TR",1999,"1998-12-25","1998-12-28","1999-04-22","1999-04-23",118,
"TR",2000,"1999-12-17","1999-12-20","2000-04-05","2000-04-07",110,
"TR",2001,"2000-12-06","2000-12-07","2001-04-22","2001-04-23",138,
"TR",2002,"2001-12-29","2001-12-31","2002-04-23","2002-04-24",116,
"TR",2003,"2002-12-02","2002-12-03","2003-04-27","2003-04-28",147,
"TR",2004,"2003-12-01","2003-12-03","2004-04-19","2004-04-21",141,
"TR",2005,"2004-12-16","2004-12-17","2005-04-15","2005-04-16",121,
"TR",2006,"2005-12-07","2005-12-08","2006-04-14","2006-04-16",129,
"TR",2007,"2006-12-23","2006-12-26","2007-04-21","2007-04-22",119,
"TR",2008,"2007-12-07","2007-12-10","2008-05-02","2008-05-05",148,
"TR",2009,"2008-12-05","2008-12-08","2009-04-26","2009-04-27",142,
"TR",2010,"2009-12-16","2009-12-17","2010-04-01","2010-04-02",107,
"TR",2011,"2010-12-08","2010-12-09","2011-04-29","2011-04-30",143,
"TR",2012,"2012-01-01","2012-01-03","2012-03-19","2012-03-20",79,
"TR",2013,"2012-12-19","2012-12-20","2013-05-13","2013-05-14",146,
"TR",2014,"2013-12-07","2013-12-08","2014-05-09","2014-05-10",154,
"TR",2015,"2014-11-27","2014-11-28","2015-04-17","2015-04-19",142,
"TR",2016,"2016-01-03","2016-01-04","2016-04-18","2016-04-19",107,
"TR",2017,"2016-12-15","2016-12-16","2017-04-14","2017-04-15",121,
"TR",2018,"2017-12-12","2017-12-14","2018-05-08","2018-05-09",148,
"TR",2019,"2018-12-06","2018-12-07","2019-05-06","2019-05-07",152,
"TR",2020,"2019-12-10","2019-12-11","2020-04-29","2020-04-30",142,
"TR",2021,"2020-12-14","2020-12-15","2021-04-05","2021-04-06",113,
"TR",2022,"2021-12-23","2021-12-26","2022-05-05","2022-05-06",133,
"TR",2023,"2022-12-10","2022-12-11","2023-05-04","2023-05-05",146,
"TR",2024,"2024-01-16","2024-01-17","2024-04-10","2024-04-11",86,
